Date,Internal Txn Identifier,TxnType,Base Asset,Base Asset Amt,Quote Asset,Quote Asset Amt,Price,Notes
2018-01-10T04:16:13.000Z,1,BUY,BTC,1.3,USD,1548.53,1191.176923,
2018-01-17T12:43:07.000Z,2,BUY,BTC,2.594324168,USD,4853.55,1870.834053,
2018-01-23T00:56:38.000Z,3,BUY,BTC,4,USD,5679.5,1419.875,
2018-01-28T19:13:55.000Z,4,BUY,ETH,5.943843,USD,2543.5,427.9218008,
2018-03-02T05:57:23.000Z,5,BUY,ETH,4.24684342,USD,6484,1526.781037,
2018-03-29T16:15:12.000Z,6,BUY,SOL,532.66845,USD,4583.44,8.604677074,
2018-04-29T20:49:29.000Z,7,BUY,SOL,165.44,USD,2416.5,14.60650387,
2019-07-05T17:41:23.000Z,8,SELL,ETH,8.4323536,USD,6534.55,774.9378536,
2019-07-07T09:09:10.000Z,9,BUY,SOL,465.55,USD,8984,19.29760498,
2019-07-13T04:59:09.000Z,10,SELL,BTC,2.134,USD,5243.48,2457.113402,
2019-08-05T06:06:43.000Z,11,BUY (NFT Swap),NFT_A,1,USD,1628,1628,* Buy portion of NFT purchase. Note equal 'Quote Asset Amount' and same dateTime
2019-08-05T06:06:43.000Z,11,SELL (NFT Swap),SOL,203.1,USD,1628,8.015755785,* Sell portion of NFT purchase. Note equal 'Quote Asset Amount' and same dateTime
2019-09-18T12:06:27.000Z,12,BUY (NFT Swap),NFT_B,1,USD,1392,1392,
2019-09-18T12:06:27.000Z,12,SELL (NFT Swap),SOL,94,USD,1392,14.80851064,
2019-10-03T12:56:46.000Z,13,BUY,ETH,46,USD,6483,140.9347826,
2019-10-30T11:56:22.000Z,14,SELL,ETH,9.643,USD,2069,214.5597843,
2020-02-07T12:00:05.000Z,15,SELL (NFT Swap),NFT_A,1,USD,2668,2668,
2020-02-19T10:59:02.000Z,15,BUY (NFT Swap),SOL,53,USD,2668,50.33962264,
2020-05-08T18:15:00.000Z,16,SELL,BTC,5.760324168,USD,4292,745.0969554,
